,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
1840,"1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1841,"1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1842,"1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1843,"1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 0, 0], [0, -1, 2], [0, 2, 8]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",10,12,9
1844,"1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1845,"1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1846,"1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1847,"1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0",False,4,"[True, True, True, True]","[True, True, True, True]","[1, 0, 0, 0]","[[7, 0, 1, 1], [0, -1, 0, 0], [1, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 1, 2, 3], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",43,-4,35
1848,"1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1849,"1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1850,"1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1851,"1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 0, 0], [0, -1, 2], [0, 2, 8]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",10,12,9
1852,"1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1853,"1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1854,"1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1855,"1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0",False,4,"[True, True, False, False]","[True, True, False, False]","[0, 0, -2, -2]","[[3, 0, 2, 2], [0, -1, 0, 0], [2, 0, -4, 4], [2, 0, 4, -4]]","[[0, 0, 1, 1, 1, 2], [0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",94,-64,59
1856,"1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1857,"1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1858,"1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1859,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0",False,3,"[True, True, True]","[True, True, False]","[0, 0, 1]","[[-1, 0, 0], [0, -1, 2], [0, 2, 8]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",13,12,11
1860,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1861,"1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1862,"1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1863,"1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0",False,4,"[True, True, True, True]","[True, True, True, True]","[1, 0, 0, 0]","[[7, 0, 1, 1], [0, -1, 0, 0], [1, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 1, 2, 3], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",43,-4,35
1864,"1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1865,"1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1866,"1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1867,"1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 0, 0], [0, -1, 2], [0, 2, 8]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",10,12,9
1868,"1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1869,"1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1870,"1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1871,"1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0",False,4,"[True, True, True, False]","[True, True, True, False]","[0, 0, 0, -2]","[[4, 0, 0, 4], [0, -1, 0, 0], [0, 0, -1, 2], [4, 0, 2, -4]]","[[0, 0, 2, 0, 2, 2], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",85,-16,43
1872,"1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1873,"1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
