,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
60,"[0, 1, 1, 1, 1, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
61,"[0, 1, 1, 1, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
62,"[0, 1, 1, 1, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[2, 2], [2, 0]]","[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1]]",2,-4,1
63,"[1, 0, 0, 0, 0, 0, 0]",False,4,"[True, True, False, False]","[True, True, False, False]","[0, 0, -2, -2]","[[-1, 0, 2, 0], [0, -1, 0, 2], [2, 0, -4, 4], [0, 2, 4, -4]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 2, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",24,-16,9
64,"[1, 0, 0, 0, 0, 0, 1]",False,3,"[True, True, True]","[True, True, True]","[0, 0, -1]","[[-1, 0, 2], [0, -1, 2], [2, 2, 0]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 2, 2]]",7,8,4
65,"[1, 0, 0, 0, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[2, 1, 1], [1, -1, 1], [1, 1, -1]]","[[0, 0, 1, 0, 2, 1], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",6,4,3
66,"[1, 0, 0, 0, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 2]]",3,-7,2
67,"[1, 0, 0, 0, 1, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 1], [1, -1, 1], [1, 1, 2]]","[[0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",5,4,3
68,"[1, 0, 0, 0, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 2]]",3,-7,2
69,"[1, 0, 0, 0, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
70,"[1, 0, 0, 0, 1, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
71,"[1, 0, 0, 1, 0, 0, 0]",False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, 0, 0, 0, 0]","[[0, 1, 1, 0, 0], [1, -1, 0, 1, 0], [1, 0, -1, 0, 1], [0, 1, 0, -1, 1], [0, 0, 1, 1, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",29,0,10
72,"[1, 0, 0, 1, 0, 0, 1]",False,3,"[True, True, True]","[True, True, True]","[0, 0, -1]","[[-1, 0, 2], [0, -1, 2], [2, 2, 0]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 2, 2]]",7,8,4
73,"[1, 0, 0, 1, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[2, 1, 1], [1, -1, 1], [1, 1, -1]]","[[0, 0, 1, 0, 2, 1], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",6,4,3
74,"[1, 0, 0, 1, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 2]]",3,-7,2
75,"[1, 0, 0, 1, 1, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 1], [1, -1, 1], [1, 1, 2]]","[[0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",5,4,3
76,"[1, 0, 0, 1, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 2]]",3,-7,2
77,"[1, 0, 0, 1, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
78,"[1, 0, 0, 1, 1, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
79,"[1, 0, 1, 0, 0, 0, 0]",False,4,"[True, True, True, False]","[True, True, True, False]","[0, 0, 0, -2]","[[0, 0, 0, 2], [0, -1, 0, 2], [0, 0, -1, 2], [2, 2, 2, -4]]","[[0, 0, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",19,-4,6
80,"[1, 0, 1, 0, 0, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 2]]",3,-7,2
81,"[1, 0, 1, 0, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[2, 1, 1], [1, -1, 1], [1, 1, -1]]","[[0, 0, 1, 0, 2, 1], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",6,4,3
82,"[1, 0, 1, 0, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 2]]",3,-7,2
83,"[1, 0, 1, 0, 1, 0, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 1, 2]]",3,-7,2
84,"[1, 0, 1, 0, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[0, 2], [2, 2]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 1, 1, 2]]",1,-4,1
