,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,,0,local-sections-A
35,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",5,5,3,6,"[2, -2, -4, 8, -4]",-14,0,,,"[[3, 0], 'NA', 'NA', 'NA', 'NA']"
36,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,4,2,5,"[-2, -4, 4, 2]",-6,0,,,"['NA', 'NA', [5, 0], [3, 0]]"
37,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",5,5,3,6,"[0, -2, -4, 8, -2]",-14,0,,,"[[1, 0], 'NA', 'NA', 'NA', [0, 1]]"
38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",5,4,2,5,"[-2, -4, 4, 2]",-6,0,,,"['NA', 'NA', [5, 0], [3, 0]]"
39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,5,1,4,"[-2, -4, 3, -1, 4]",0,0,,,"['NA', 'NA', [4, 0], [0, 0], [6, 0]]"
40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",5,4,1,4,"[-2, -4, 3, 3]",0,0,,,"['NA', 'NA', [4, 0], [4, 0]]"
41,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,4,1,4,"[-2, -4, 3, 3]",0,0,,,"['NA', 'NA', [4, 0], [4, 0]]"
42,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,4,1,4,"[-2, -4, 3, 3]",0,0,,,"['NA', 'NA', [4, 0], [4, 0]]"
43,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",5,3,1,4,"[-2, -4, 6]",0,0,,,"['NA', 'NA', [7, 0]]"
44,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,4,1,4,"[2, -2, -4, 4]",0,0,,,"[[3, 0], 'NA', 'NA', [6, 0]]"
45,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,3,1,4,"[-2, -4, 6]",0,0,,,"['NA', 'NA', [7, 0]]"
46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,3,1,4,"[-2, -4, 6]",0,0,,,"['NA', 'NA', [7, 0]]"
47,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,7,3,6,"[2, -2, -4, 3, 4, -1, -2]",-14,0,,,"[[3, 0], 'NA', 'NA', [4, 0], [5, 0], [0, 0], [0, 1]]"
48,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,5,3,6,"[-2, -4, 3, 4, -1]",-14,0,,,"['NA', 'NA', [4, 0], [5, 0], [0, 0]]"
49,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,6,3,6,"[1, -2, -4, 3, 4, -2]",-14,0,,,"[[2, 0], 'NA', 'NA', [4, 0], [5, 0], [0, 1]]"
50,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",7,6,3,6,"[-3, 2, -2, -4, 3, 4]",-14,0,,,"[[0, 2], [3, 0], 'NA', 'NA', [4, 0], [5, 0]]"
51,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,5,2,5,"[4, -2, -4, 4, -2]",-6,0,,,"[[5, 0], 'NA', 'NA', [5, 0], [0, 1]]"
52,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,4,2,5,"[-2, -4, 4, 2]",-6,0,,,"['NA', 'NA', [5, 0], [3, 0]]"
53,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",7,6,2,5,"[2, 2, -2, -4, 4, -2]",-6,0,,,"[[3, 0], [3, 0], 'NA', 'NA', [5, 0], [0, 1]]"
54,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,4,2,5,"[-2, -4, 4, 2]",-6,0,,,"['NA', 'NA', [5, 0], [3, 0]]"
55,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",7,5,1,4,"[-2, -4, 3, -1, 4]",0,0,,,"['NA', 'NA', [4, 0], [0, 0], [6, 0]]"
56,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, 1, -4, 1]",6,4,1,4,"[-2, -4, 3, 3]",0,0,,,"['NA', 'NA', [4, 0], [4, 0]]"
