,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
832,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 0], [1, -1, 3], [0, 3, 5]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 3, 3]]",31,9,16
833,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[7, 1, 2], [1, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 2], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",26,12,18
834,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
835,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[-1, 1, 0, 0], [1, -1, 1, 2], [0, 1, -1, 1], [0, 2, 1, 4]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 2, 3]]",78,-4,40
836,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 0], [1, -1, 3], [0, 3, 5]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 3, 3]]",31,9,16
837,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 3]]",11,-11,9
838,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
839,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, 0, 0, 0, 0]","[[3, 0, 2, 0, 1], [0, -1, 1, 0, 0], [2, 1, -1, 1, 0], [0, 0, 1, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 2, 2], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",143,0,72
840,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 0], [1, -1, 3], [0, 3, 5]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 3, 3]]",31,9,16
841,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[7, 1, 2], [1, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 2], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",26,12,18
