,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2,local-sections-A
521,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[5, -8, 1, -2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[0, -2, 0, 0]","[[4, 2, 2, 1], [2, -4, 0, 0], [2, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 0, 3, 2], [0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",78,-36,57,"[[6, 0], 'NA', [2, 0], [0, 1]]"
522,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,1,5,"[-8, 1, 3]",-4,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 0]","[[-4, 0, 2], [0, -1, 3], [2, 3, 5]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 3, 3]]",30,60,58,"['NA', [2, 0], [4, 0]]"
523,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,1,5,"[-8, 3, 2, -1]",-4,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-2, 0, 0, 0]","[[-4, 2, 0, 0], [2, -1, 1, 2], [0, 1, -1, 1], [0, 2, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 2, 3]]",79,-16,33,"['NA', [4, 0], [3, 0], [0, 0]]"
524,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,1,5,"[-8, 3, 1]",-4,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 0]","[[-4, 2, 0], [2, -1, 3], [0, 3, 5]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 3, 3]]",31,36,59,"['NA', [4, 0], [2, 0]]"
525,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 1, 0, 2, 2, 3]]",2,-44,51,"['NA', [3, 0]]"
526,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
527,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,5,2,6,"[5, -8, 1, 2, -4]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, -2, 0, 0, -2]","[[2, 2, 1, 0, 2], [2, -4, 0, 0, 0], [1, 0, -1, 0, 2], [0, 0, 0, -1, 2], [2, 0, 2, 2, -4]]","[[0, 0, 1, 0, 2, 1], [0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",151,0,62,"[[6, 0], 'NA', [2, 0], [3, 0], 'NA']"
528,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,1,5,"[-8, 1, 3]",-4,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 0]","[[-4, 0, 2], [0, -1, 3], [2, 3, 5]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 3, 3]]",30,60,58,"['NA', [2, 0], [4, 0]]"
529,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[5, -8, 1, -2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[0, -2, 0, 0]","[[4, 2, 2, 1], [2, -4, 0, 0], [2, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 0, 3, 2], [0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",78,-36,57,"[[6, 0], 'NA', [2, 0], [0, 1]]"
530,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,1,5,"[3, 0, -8, 1]",-4,0,False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, -2, 0]","[[3, 1, 2, 2], [1, 0, 0, 1], [2, 0, -4, 0], [2, 1, 0, -1]]","[[0, 0, 0, 1, 2, 2], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0]]",53,-4,31,"[[4, 0], [1, 0], 'NA', [2, 0]]"
531,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,1,5,"[-8, 2, 2]",-4,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 1]","[[-4, 0, 2], [0, -1, 2], [2, 2, 7]]","[[0, 0, 0, 0, 0, 2], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 3]]",27,48,52,"['NA', [3, 0], [2, 0]]"
532,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
